Region, Income one person ,  Expenditure one person , Income two persons ,  Expenditure two persons , Income three persons ,  Expenditure three persons , Income four persons ,  Expenditure four persons , Income five persons ,  Expenditure five persons , Income six persons ,  Expenditure six persons , Income seven persons or more ,  Expenditure seven persons or more 
National Capital Region (NCR),44169,33883,130849,101053,225945,183242,337337,275785,300893,239968,205337,165448,283239,224066
Cordillera Administrative Region (CAR),4944,3483,9927,6580,22389,13579,29256,19609,31163,19292,22061,15121,29779,19627
Region I (Ilocos Region),10986,7538,34684,23956,55639,39255,74747,52760,64944,47035,43813,31146,63283,46369
Region II (Cagayan Valley),4935,3329,18201,11047,38102,25151,56795,36885,40275,27956,31753,20715,35884,23420
Region III (Central Luzon),19576,14996,66249,52245,131829,109344,194227,160993,183683,152202,126037,102231,207998,160106
Region IV-A (CALABARZON),36195,28991,112424,85909,232469,184817,312869,250910,270170,218045,197380,158184,282922,218564
MIMAROPA Region,5529,3710,18940,11697,31882,20889,39721,27180,36536,24732,24479,17502,32598,23082
Region V (Bicol Region),7815,6517,24506,20518,40169,33362,57602,48007,53218,43504,44456,36894,73012,58824
Region VI (Western Visayas),12380,9445,38549,27258,73447,56262,103799,79668,96426,73629,62415,48522,99517,75975
Region VII (Central Visayas),14210,9898,45485,29801,76429,52517,107627,73387,100090,69300,91292,54468,131439,85991
Region VIII (Eastern Visayas),6837,5290,20853,15979,35616,27027,45535,35789,43316,34515,31612,25919,56122,44571
Region IX (Zamboanga Peninsula),3422,2488,10511,7362,25165,16559,41997,29337,36148,26432,30331,21829,43485,32249
Region X (Northern Mindanao),5219,3836,21579,15002,42072,28532,58231,40091,53731,37726,42299,29749,57377,40730
Region XI (Davao Region),10792,7697,26249,18118,54093,38493,81483,58887,72309,49883,44136,30590,55045,39679
Region XII (SOCCSKSARGEN),5654,4506,17628,13551,40381,32452,60477,45163,60334,40386,33691,26724,55663,42231
Region XIII (Caraga),2598,2101,10815,8412,20796,16047,30846,22964,27477,21140,21961,16972,35805,28023
Autonomous Region in Muslim Mindanao (ARMM),516,361,2533,1948,8773,6713,16188,12417,19181,15267,16806,13426,41873,33152
