iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients
PHL,Asia,Philippines,30/01/2020,1,1,,,,,0.009,0.009,,,,,,
PHL,Asia,Philippines,31/01/2020,1,0,,,,,0.009,0,,,,,,
PHL,Asia,Philippines,01/02/2020,1,0,,,,,0.009,0,,,,,,
PHL,Asia,Philippines,02/02/2020,2,1,,1,1,,0.018,0.009,,0.009,0.009,,,
PHL,Asia,Philippines,03/02/2020,2,0,,1,0,,0.018,0,,0.009,0,,,
PHL,Asia,Philippines,04/02/2020,2,0,0.286,1,0,0.143,0.018,0,0.003,0.009,0,0.001,,
PHL,Asia,Philippines,05/02/2020,2,0,0.286,1,0,0.143,0.018,0,0.003,0.009,0,0.001,,
PHL,Asia,Philippines,06/02/2020,2,0,0.143,1,0,0.143,0.018,0,0.001,0.009,0,0.001,,
PHL,Asia,Philippines,07/02/2020,3,1,0.286,1,0,0.143,0.027,0.009,0.003,0.009,0,0.001,,
PHL,Asia,Philippines,08/02/2020,3,0,0.286,1,0,0.143,0.027,0,0.003,0.009,0,0.001,,
PHL,Asia,Philippines,09/02/2020,3,0,0.143,1,0,0,0.027,0,0.001,0.009,0,0,,
PHL,Asia,Philippines,10/02/2020,3,0,0.143,1,0,0,0.027,0,0.001,0.009,0,0,,
PHL,Asia,Philippines,11/02/2020,3,0,0.143,1,0,0,0.027,0,0.001,0.009,0,0,,
PHL,Asia,Philippines,12/02/2020,3,0,0.143,1,0,0,0.027,0,0.001,0.009,0,0,,
PHL,Asia,Philippines,13/02/2020,3,0,0.143,1,0,0,0.027,0,0.001,0.009,0,0,,
PHL,Asia,Philippines,14/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,15/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,16/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,17/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,18/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,19/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,20/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,21/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,22/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,23/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,24/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,25/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,26/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,27/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,28/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,29/02/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,01/03/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,02/03/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,03/03/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,04/03/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,05/03/2020,3,0,0,1,0,0,0.027,0,0,0.009,0,0,,
PHL,Asia,Philippines,06/03/2020,5,2,0.286,1,0,0,0.046,0.018,0.003,0.009,0,0,,
PHL,Asia,Philippines,07/03/2020,6,1,0.429,1,0,0,0.055,0.009,0.004,0.009,0,0,,
PHL,Asia,Philippines,08/03/2020,10,4,1,1,0,0,0.091,0.037,0.009,0.009,0,0,,
PHL,Asia,Philippines,09/03/2020,20,10,2.429,1,0,0,0.183,0.091,0.022,0.009,0,0,,
PHL,Asia,Philippines,10/03/2020,33,13,4.286,1,0,0,0.301,0.119,0.039,0.009,0,0,,
PHL,Asia,Philippines,11/03/2020,49,16,6.571,1,0,0,0.447,0.146,0.06,0.009,0,0,,
PHL,Asia,Philippines,12/03/2020,52,3,7,2,1,0.143,0.475,0.027,0.064,0.018,0.009,0.001,,
PHL,Asia,Philippines,13/03/2020,64,12,8.429,5,3,0.571,0.584,0.11,0.077,0.046,0.027,0.005,,
PHL,Asia,Philippines,14/03/2020,111,47,15,8,3,1,1.013,0.429,0.137,0.073,0.027,0.009,,
PHL,Asia,Philippines,15/03/2020,140,29,18.571,11,3,1.429,1.278,0.265,0.169,0.1,0.027,0.013,1.61,
PHL,Asia,Philippines,16/03/2020,142,2,17.429,12,1,1.571,1.296,0.018,0.159,0.11,0.009,0.014,1.61,
PHL,Asia,Philippines,17/03/2020,187,45,22,12,0,1.571,1.706,0.411,0.201,0.11,0,0.014,1.68,
PHL,Asia,Philippines,18/03/2020,202,15,21.857,19,7,2.571,1.843,0.137,0.199,0.173,0.064,0.023,1.72,
PHL,Asia,Philippines,19/03/2020,217,15,23.571,17,-2,2.143,1.98,0.137,0.215,0.155,-0.018,0.02,1.8,
PHL,Asia,Philippines,20/03/2020,230,13,23.714,18,1,1.857,2.099,0.119,0.216,0.164,0.009,0.017,1.93,
PHL,Asia,Philippines,21/03/2020,307,77,28,19,1,1.571,2.802,0.703,0.256,0.173,0.009,0.014,2.1,
PHL,Asia,Philippines,22/03/2020,380,73,34.286,25,6,2,3.468,0.666,0.313,0.228,0.055,0.018,2.17,
PHL,Asia,Philippines,23/03/2020,462,82,45.714,33,8,3,4.216,0.748,0.417,0.301,0.073,0.027,2.22,
PHL,Asia,Philippines,24/03/2020,552,90,52.143,35,2,3.286,5.037,0.821,0.476,0.319,0.018,0.03,2.19,
PHL,Asia,Philippines,25/03/2020,636,84,62,38,3,2.714,5.804,0.767,0.566,0.347,0.027,0.025,2.22,
PHL,Asia,Philippines,26/03/2020,707,71,70,45,7,4,6.452,0.648,0.639,0.411,0.064,0.037,2.25,
PHL,Asia,Philippines,27/03/2020,803,96,81.857,54,9,5.143,7.328,0.876,0.747,0.493,0.082,0.047,2.32,
PHL,Asia,Philippines,28/03/2020,1075,272,109.714,68,14,7,9.81,2.482,1.001,0.621,0.128,0.064,2.39,
PHL,Asia,Philippines,29/03/2020,1418,343,148.286,71,3,6.571,12.94,3.13,1.353,0.648,0.027,0.06,2.36,
PHL,Asia,Philippines,30/03/2020,1546,128,154.857,78,7,6.429,14.108,1.168,1.413,0.712,0.064,0.059,2.22,
PHL,Asia,Philippines,31/03/2020,2084,538,218.857,88,10,7.571,19.018,4.91,1.997,0.803,0.091,0.069,2.16,
PHL,Asia,Philippines,01/04/2020,2311,227,239.286,96,8,8.286,21.089,2.072,2.184,0.876,0.073,0.076,1.96,
PHL,Asia,Philippines,02/04/2020,2633,322,275.143,107,11,8.857,24.028,2.938,2.511,0.976,0.1,0.081,1.78,
PHL,Asia,Philippines,03/04/2020,3018,385,316.429,136,29,11.714,27.541,3.513,2.888,1.241,0.265,0.107,1.59,
PHL,Asia,Philippines,04/04/2020,3094,76,288.429,144,8,10.857,28.235,0.694,2.632,1.314,0.073,0.099,1.35,
PHL,Asia,Philippines,05/04/2020,3246,152,261.143,152,8,11.571,29.622,1.387,2.383,1.387,0.073,0.106,1.25,
PHL,Asia,Philippines,06/04/2020,3660,414,302,163,11,12.143,33.4,3.778,2.756,1.487,0.1,0.111,1.22,
PHL,Asia,Philippines,07/04/2020,3764,104,240,177,14,12.714,34.349,0.949,2.19,1.615,0.128,0.116,1.11,
PHL,Asia,Philippines,08/04/2020,3870,106,222.714,182,5,12.286,35.316,0.967,2.032,1.661,0.046,0.112,1.08,
PHL,Asia,Philippines,09/04/2020,4076,206,206.143,203,21,13.714,37.196,1.88,1.881,1.853,0.192,0.125,1.07,
PHL,Asia,Philippines,10/04/2020,4195,119,168.143,221,18,12.143,38.282,1.086,1.534,2.017,0.164,0.111,1.06,
PHL,Asia,Philippines,11/04/2020,4428,233,190.571,247,26,14.714,40.408,2.126,1.739,2.254,0.237,0.134,1.06,
PHL,Asia,Philippines,12/04/2020,4648,220,200.286,297,50,20.714,42.416,2.008,1.828,2.71,0.456,0.189,1.08,
PHL,Asia,Philippines,13/04/2020,4932,284,181.714,315,18,21.714,45.008,2.592,1.658,2.875,0.164,0.198,1.1,
PHL,Asia,Philippines,14/04/2020,5223,291,208.429,335,20,22.571,47.663,2.656,1.902,3.057,0.183,0.206,1.1,
PHL,Asia,Philippines,15/04/2020,5453,230,226.143,349,14,23.857,49.762,2.099,2.064,3.185,0.128,0.218,1.08,
PHL,Asia,Philippines,16/04/2020,5660,207,226.286,362,13,22.714,51.651,1.889,2.065,3.303,0.119,0.207,1.04,
PHL,Asia,Philippines,17/04/2020,5878,218,240.429,387,25,23.714,53.641,1.989,2.194,3.532,0.228,0.216,1.01,
PHL,Asia,Philippines,18/04/2020,6087,209,237,397,10,21.429,55.548,1.907,2.163,3.623,0.091,0.196,0.97,
PHL,Asia,Philippines,19/04/2020,6259,172,230.143,409,12,16,57.118,1.57,2.1,3.732,0.11,0.146,0.93,
PHL,Asia,Philippines,20/04/2020,6459,200,218.143,428,19,16.143,58.943,1.825,1.991,3.906,0.173,0.147,0.93,
PHL,Asia,Philippines,21/04/2020,6599,140,196.571,437,9,14.571,60.22,1.278,1.794,3.988,0.082,0.133,0.93,
PHL,Asia,Philippines,22/04/2020,6710,111,179.571,446,9,13.857,61.233,1.013,1.639,4.07,0.082,0.126,0.96,
PHL,Asia,Philippines,23/04/2020,6981,271,188.714,462,16,14.286,63.706,2.473,1.722,4.216,0.146,0.13,1,
PHL,Asia,Philippines,24/04/2020,7192,211,187.714,477,15,12.857,65.632,1.926,1.713,4.353,0.137,0.117,1.01,
PHL,Asia,Philippines,25/04/2020,7294,102,172.429,494,17,13.857,66.563,0.931,1.574,4.508,0.155,0.126,1.01,
PHL,Asia,Philippines,26/04/2020,7579,285,188.571,501,7,13.143,69.163,2.601,1.721,4.572,0.064,0.12,1.04,
PHL,Asia,Philippines,27/04/2020,7777,198,188.286,511,10,11.857,70.97,1.807,1.718,4.663,0.091,0.108,1.06,
PHL,Asia,Philippines,28/04/2020,7958,181,194.143,530,19,13.286,72.622,1.652,1.772,4.837,0.173,0.121,1.08,
PHL,Asia,Philippines,29/04/2020,8212,254,214.571,558,28,16,74.94,2.318,1.958,5.092,0.256,0.146,1.11,
